Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda,codigo_ibge
Sudeste,SP,Uchoa,"0,6654","0,6891","0,6519","0,6551",3555604
Sudeste,SP,Riolândia,"0,6653","0,7811","0,6455","0,5692",3544202
Sudeste,MG,Inhaúma,"0,6652","0,6326","0,6858","0,6772",3131000
Sudeste,MG,Mantena,"0,6652","0,6868","0,5927","0,7161",3139607
Sul,PR,Amaporã,"0,6652","0,6683","0,6920","0,6353",4100905
Centro-Oeste,GO,Araguapaz,"0,6652","0,6764","0,6744","0,6448",5202155
Sudeste,SP,Vera Cruz,"0,6651","0,8157","0,5536","0,6261",3556602
Sul,RS,Camaquã,"0,6651","0,5369","0,7512","0,7071",4303509
Centro-Oeste,GO,Pirenópolis,"0,6650","0,5972","0,6400","0,7578",5217302
Sudeste,MG,Divinésia,"0,6649","0,6917","0,6814","0,6215",3121902
Sudeste,MG,Pirapetinga,"0,6649","0,6953","0,6461","0,6534",3151107
Sudeste,SP,Terra Roxa,"0,6649","0,8215","0,4528","0,7203",3554409
Sul,PR,Tibagi,"0,6649","0,6274","0,6067","0,7606",4127502
Sul,RS,Bom Progresso,"0,6648","0,6762","0,7427","0,5754",4302378
Sudeste,MG,Bom Sucesso,"0,6647","0,7218","0,6615","0,6107",3108008
Sudeste,MG,Matutina,"0,6647","0,7191","0,6456","0,6295",3141207
Sudeste,RJ,Carmo,"0,6647","0,7126","0,5918","0,6897",3301207
Sul,RS,Tabaí,"0,6647","0,5774","0,6480","0,7687",4320859
